id,hsk_level,chinese,pinyin,english
570,2,出口（名）,chū kǒu,export
571,2,出门,chū mén,go out
572,2,出生,chūshēng,Birth
573,2,出现,chūxiàn,Appear
574,2,出院,chū yuàn,discharged; leave hospital
575,2,出租,chū zū,rent
576,2,出租车,chūzūchē,Taxi
577,2,船,chuán,ship
578,2,吹,chuī,blow
579,2,春节,chūn jié,Spring Festival; Chinese New Year
580,2,春天,chūn tiān,spring
581,2,词,cí,word
582,2,词典,cídiǎn,Dictionary
583,2,词语,cíyǔ,terms
584,2,从小,cóng xiǎo,from childhood
585,2,答应,dāying,promise
586,2,打工,dǎgōng,Work
587,2,打算,dǎsuàn,Plan
588,2,打印,dǎyìn,Print
589,2,大部分,dà bù fèn,most
590,2,大大,dà dà,greatly; enormously
591,2,大多数,dà duō shù,most; great majority
592,2,大海,dà hǎi,sea
593,2,大家,dàjiā,everybody
594,2,大量,dà liàng,a lot of; lots of
595,2,大门,dà mén,door; gate
596,2,大人,dà rén,adult
597,2,大声,dà shēng,loud
598,2,大小,dà xiǎo,size
599,2,大衣,dà yī,overcoat
600,2,大自然,dà zì rán,nature
601,2,带,dài,belt
602,2,带来,dài lái,bring
603,2,单位,dānwèi,Company
604,2,但,dàn,but; however
605,2,但是,dàn shì,but; however
606,2,蛋,dàn,egg
607,2,当,dāng,When
608,2,当时,dāngshí,at that time
609,2,倒,dǎo,"fall, topple, fail"
610,2,到处,dàochù,everywhere
611,2,倒,dào,inverted
612,2,道,dào,road; way; path
613,2,道理,dàolǐ,truth
614,2,道路,dào lù,road; way; path
615,2,得,dé,get
616,2,得出,dé chū,obtain results; reach conclusion
617,2,的话,de huà,if
618,2,得,de,auxiliary verb
619,2,灯,dēng,lamp
620,2,等（助、名）,děng,etc.; and so on
621,2,等到,děng dào,wait until; by the time
622,2,等于,děngyú,Be equal to
623,2,低,dī,low
624,2,地球,dìqiú,earth
625,2,地铁,dìtiě,metro
626,2,地铁站,dì tiě zhàn,subway station
627,2,点头,diǎn tóu,nod
628,2,店,diàn,shop; store
629,2,掉,diào,fall
630,2,东北,dōng běi,northeast
631,2,东方,dōng fāng,east
632,2,东南,dōng nán,southeast
633,2,冬天,dōng tiān,winter
634,2,懂,dǒng,understand
635,2,懂得,dǒng de,know; understand; comprehend
636,2,动物,dòngwù,Animal
637,2,动物园,dòng wù yuán,zoo
638,2,读音,dú yīn,pronunciation
639,2,度,dù,degree; limit
640,2,短,duǎn,short
641,2,短信,duǎnxìn,message
642,2,段,duàn,paragraph
643,2,队,duì,team
644,2,队长,duì zhǎng,team leader; captain
645,2,对（介、动）,duì,to; at; face; be opposite; answer
646,2,对话,duìhuà,dialogue
647,2,对面,duìmiàn,Opposite side
648,2,多（副）,duō,much more; far more
649,2,多久,duō jiǔ,how long
650,2,多么,duōme,what
651,2,多数,duō shù,most; majority
652,2,多云,duō yún,cloudy
653,2,而且,ér qiě,and
654,2,发,fā,send out
655,2,发现,fāxiàn,find
656,2,饭馆,fàn guǎn,restaurant
657,2,方便,fāngbiàn,convenient
658,2,方便面,fāng biàn miàn,Instant noodles
659,2,方法,fāngfǎ,Method
660,2,方面,fāngmiàn,Aspect
661,2,方向,fāngxiàng,direction
662,2,放下,fàng xià,put down; lay down; drop
663,2,放心,fàngxīn,Don’t worry
664,2,分（动）,fēn,divide; part; distribute
665,2,分开,fēn kāi,separate; part
666,2,分数,fēn shù,score; mark; fraction
667,2,分钟,fēnzhōng,Minute
668,2,份,fèn,share
669,2,封（量）,fēng,(measure word)
670,2,服务,fú wù,service
671,2,复习,fùxí,Review
672,2,该（动）,gāi,deserve; should; owe
673,2,改,gǎi,change; correct; revise; switch over
674,2,改变,gǎibiàn,change
675,2,干杯,gānbēi,Cheers!
676,2,感到,gǎn dào,feel; sense
677,2,感动,gǎndòng,Be moved
678,2,感觉,gǎnjué,feel
679,2,感谢,gǎnxiè,Thank
680,2,干活儿,gànhuór,work on a job
681,2,刚,gāng,just
682,2,刚才,gāngcái,just
683,2,刚刚,gāng gāng,just; only; just a moment ago
684,2,高级,gāojí,senior
685,2,高中,gāo zhōng,senior high school
686,2,个子,gèzi,Height
687,2,更,gèng,more
688,2,公共汽车,gōnggòngqìchē,Bus
689,2,公交车,gōng jiāo chē,bus
690,2,公斤,gōngjīn,Kg.
691,2,公里,gōnglǐ,kilometre
692,2,公路,gōng lù,highway; highroad
693,2,公平,gōngpíng,fair
694,2,公司,gōngsī,company
695,2,公园,gōngyuán,Park
696,2,狗,gǒu,Dog
697,2,够,gòu,enough
698,2,故事,gùshi,Story
699,2,故意,gùyì,deliberately
700,2,顾客,gùkè,customer
701,2,关机,guān jī,shutdown
702,2,关心,guānxīn,Care for
703,2,观点,guāndiǎn,viewpoint
704,2,广场,guǎngchǎng,square
705,2,广告,guǎnggào,Advertisement
706,2,国际,guójì,international
707,2,过来,guò lái,come; come over
708,2,过年,guò nián,celebrate the New Year
709,2,过去（动）,guò qù,go over; pass by
710,2,过,guò,cross; pass; spend; live
711,2,海,hǎi,sea
712,2,海边,hǎi biān,seaside
713,2,喊,hǎn,shout
714,2,好（副）,hǎo,well; fine; okay
715,2,好处,hǎochu,benefit
716,2,好多,hǎo duō,many; a lot of
717,2,好久,hǎo jiǔ,for a long time; long
718,2,好人,hǎo rén,good person
719,2,好事,hǎo shì,good deed; good thing
720,2,好像,hǎoxiàng,Be like
721,2,合适,héshì,appropriate
722,2,河,hé,river
723,2,黑,hēi,black
724,2,黑板,hēibǎn,blackboard
725,2,黑色,hēi sè,black
726,2,红,hóng,red
727,2,红色,hóng sè,red
728,2,后来,hòulái,later
729,2,忽然,hūrán,suddenly
730,2,湖,hú,lake
731,2,护照,hùzhào,passport
732,2,花（动）,huā,spend; expend
733,2,花园,huā yuán,garden
734,2,画,huà,painting
735,2,画家,huà jiā,painter; artist
736,2,画儿,huàr,painting; drawing
737,2,坏处,huài chù,disadvantage; harm
738,2,坏人,huài rén,bad person
739,2,欢迎,huānyíng,Welcome
740,2,换,huàn,change
741,2,黄,huáng,yellow
742,2,黄色,huáng sè,yellow
743,2,回（量）,huí,(measure word)
744,2,回国,huí guó,return home from abroad
745,2,会（名）,huì,meeting; gathering; conference; union; party
746,2,活动,huódòng,activity
747,2,或,huò,or
748,2,或者,huòzhě,perhaps
749,2,机会,jīhuì,Opportunity
750,2,鸡,jī,chicken
751,2,级,jí,level; rank; grade; degree; step
752,2,急,jí,fast; anxious; urgent; annoyed
753,2,计划,jìhuà,plan
754,2,计算机,jì suàn jī,computer
755,2,加,jiā,add; increase; put in
756,2,加油,jiā yóu,oil; refuel; make an all-out effort
757,2,家（科学家）,jiā,noun suffix (scientist)
758,2,家庭,jiātíng,Family
759,2,家长,jiā zhǎng,parent; the head of the family
760,2,假,jiǎ,false
761,2,假期,jià qī,holiday; vacation
762,2,检查,jiǎnchá,inspect; check
763,2,见到,jiàn dào,see
764,2,见过,jiàn guò,seen; have seen
765,2,件,jiàn,piece
766,2,健康,jiànkāng,Healthy
767,2,讲,jiǎng,speak
768,2,讲话,jiǎng huà,speak; talk
769,2,交,jiāo,hand over
770,2,交给,jiāo gěi,hand over
771,2,交朋友,jiāo péng yǒu,make friends
772,2,交通,jiāotōng,traffic
773,2,角,jiǎo,horn
774,2,角度,jiǎodù,angle
775,2,饺子,jiǎozi,Dumplings
776,2,脚,jiǎo,foot
777,2,叫作,jiào zuò,be called; be known as
778,2,教师,jiào shī,teacher
779,2,教室,jiàoshì,Classroom
780,2,教学,jiào xué,teach
781,2,教育,jiàoyù,education
782,2,接,jiē,meet， pick
783,2,接到,jiē dào,receive
784,2,接受,jiēshòu,accept
785,2,接下来,jiē xià lái,next
786,2,接着,jiēzhe,Next
787,2,街,jiē,street
788,2,节（名、量）,jié,festival; holiday; joint; (measure word)
789,2,节目,jiémù,program
790,2,节日,jiérì,festival
791,2,结果,jiéguǒ,Result
792,2,借,jiè,borrow
793,2,斤,jīn,a unit of weight (=1/2 kilogram)
794,2,今后,jīn hòu,from now on; in the future
795,2,进入,jìn rù,enter; go in; join
796,2,进行,jìnxíng,Conduct
797,2,近,jìn,near
798,2,经常,jīngcháng,Often
799,2,经过,jīngguò,"after, through"
800,2,经理,jīnglǐ,manager
801,2,酒,jiǔ,alcohol; liqueur
802,2,酒店,jiǔ diàn,hotel
803,2,就要,jiù yào,be going to; be about to
804,2,举,jǔ,lift
805,2,举手,jǔ shǒu,raise one’s hand or hands
806,2,举行,jǔxíng,hold
807,2,句,jù,sentence
808,2,句子,jùzi,sentence
809,2,卡,kǎ,card
810,2,开机,kāi jī,starting up
811,2,开心,kāixīn,Happy
812,2,开学,kāi xué,school opens; term begins
813,2,看法,kànfǎ,view
814,2,考生,kǎo shēng,examinee
815,2,靠,kào,lean
816,2,科,kē,subject; family; section
817,2,科学,kēxué,science
818,2,可爱,kě’ài,Lovely
